Season,House_Type,Electricity_Provider,Income_Level,City_Area,Family_Members,AC_Usage_Hours,Heater_Usage_Hours,WashingMachine_Use,Fridge_Count,Other_Appliances,Avg_Daily_Usage,Units_Consumed,Monthly_Bill
Rainy,Apartment,Society,Low,Urban,6.0,7.6,2.8,2.0,1.0,4.0,7.5,311.0,2196.0
Summer,Kothi,PSPCL,High,Urban,4.0,5.1,2.9,5.0,2.0,5.0,5.5,234.0,1672.0
Summer,Apartment,Private,Medium,SemiUrban,,,5.0,3.0,2.0,3.0,9.6,328.0,
Rainy,Apartment,Private,Low,Urban,7.0,5.1,1.3,5.0,2.0,6.0,3.7,249.0,1810.0
Winter,Rented Room,PSPCL,Medium,Rural,6.0,1.6,2.3,2.0,1.0,2.0,9.0,197.0,1350.0
Spring,Kothi,Society,,Rural,3.0,3.3,4.9,0.0,1.0,5.0,5.1,182.0,1284.0
Summer,Kothi,Society,Medium,SemiUrban,,6.0,4.9,0.0,2.0,3.0,7.4,262.0,1849.0
Spring,Kothi,Generator Backup,High,Rural,3.0,0.8,2.3,5.0,2.0,2.0,5.6,173.0,1224.0
Winter,PG,PSPCL,Medium,Rural,6.0,,2.8,2.0,2.0,2.0,9.5,,1666.0
Winter,Rented Room,PSPCL,Medium,SemiUrban,4.0,2.2,1.8,1.0,1.0,5.0,11.5,190.0,1339.0
,Kothi,Private,Medium,Rural,5.0,3.5,5.6,3.0,1.0,3.0,11.3,276.0,1920.0
Summer,PG,PSPCL,Low,Rural,5.0,7.8,0.7,3.0,1.0,6.0,8.3,263.0,1886.0
Winter,Independent,Society,Low,,2.0,0.5,5.6,2.0,2.0,5.0,7.2,200.0,1442.0
,Independent,PSPCL,High,Urban,5.0,4.1,4.1,1.0,2.0,4.0,10.4,236.0,1671.0
Winter,PG,Private,High,SemiUrban,5.0,1.4,3.2,0.0,2.0,2.0,9.1,218.0,
Spring,PG,Generator Backup,Low,SemiUrban,3.0,7.8,0.2,4.0,2.0,5.0,4.7,238.0,1688.0
Spring,Rented Room,Private,High,SemiUrban,3.0,0.9,2.9,4.0,2.0,2.0,10.4,237.0,1636.0
Rainy,Rented Room,Private,Low,Urban,6.0,3.2,2.4,2.0,1.0,3.0,6.9,182.0,1270.0
Spring,Independent,Generator Backup,,Urban,2.0,5.9,,1.0,2.0,1.0,4.7,174.0,1319.0
Rainy,Kothi,Private,Medium,SemiUrban,1.0,5.6,3.9,1.0,2.0,5.0,5.5,208.0,1416.0
,Independent,Private,High,Urban,7.0,3.4,5.8,3.0,2.0,6.0,,238.0,1597.0
Summer,Kothi,PSPCL,Low,SemiUrban,,2.8,3.4,0.0,1.0,5.0,7.7,184.0,1380.0
Spring,Kothi,PSPCL,Low,Urban,2.0,3.2,4.3,,2.0,2.0,5.1,197.0,1330.0
Rainy,Rented Room,Generator Backup,High,,4.0,2.1,0.4,1.0,,3.0,,115.0,846.0
Rainy,Apartment,PSPCL,Low,Rural,6.0,1.6,2.5,5.0,1.0,4.0,4.1,189.0,1374.0
Winter,Apartment,PSPCL,Medium,SemiUrban,4.0,3.9,0.7,4.0,1.0,6.0,8.2,193.0,1330.0
Summer,PG,Private,High,,2.0,2.1,3.7,5.0,1.0,3.0,9.6,265.0,1858.0
Spring,Rented Room,Society,High,Urban,2.0,,5.6,0.0,1.0,5.0,5.9,191.0,1384.0
Winter,Kothi,PSPCL,Low,Rural,2.0,5.3,4.0,0.0,2.0,4.0,3.3,150.0,1126.0
Spring,Apartment,Society,High,Rural,5.0,7.7,0.5,5.0,2.0,3.0,4.1,242.0,1693.0
,Kothi,PSPCL,Low,Urban,7.0,4.8,2.1,2.0,1.0,1.0,11.2,296.0,2113.0
Winter,Apartment,PSPCL,Low,Urban,7.0,0.6,3.3,1.0,1.0,6.0,7.4,149.0,1112.0
Winter,Apartment,Generator Backup,Low,Urban,4.0,0.6,2.4,,1.0,2.0,7.1,155.0,1174.0
Winter,,Generator Backup,,Urban,2.0,7.6,5.0,5.0,2.0,3.0,3.3,252.0,1835.0
Winter,Rented Room,,Low,Urban,7.0,2.4,4.9,1.0,2.0,3.0,9.6,230.0,1663.0
Winter,Independent,Society,High,Urban,3.0,0.7,3.7,3.0,1.0,1.0,7.8,182.0,1283.0
Spring,,Private,Medium,SemiUrban,7.0,4.8,2.2,2.0,2.0,5.0,4.8,191.0,1372.0
Winter,,PSPCL,Medium,Urban,6.0,5.0,1.5,2.0,2.0,6.0,,211.0,1456.0
Summer,Rented Room,PSPCL,High,Rural,6.0,5.2,0.6,5.0,1.0,6.0,6.5,219.0,1540.0
Rainy,Rented Room,,High,SemiUrban,7.0,,2.1,4.0,1.0,2.0,10.5,261.0,1874.0
Winter,Rented Room,Society,Medium,Urban,3.0,,2.5,5.0,2.0,3.0,10.8,178.0,1320.0
Winter,Rented Room,Generator Backup,Medium,Rural,6.0,7.7,4.1,2.0,2.0,4.0,8.4,300.0,2110.0
Spring,PG,Private,Medium,SemiUrban,,,3.9,1.0,2.0,3.0,9.5,216.0,1595.0
Winter,Kothi,Society,Medium,Rural,7.0,5.4,0.4,4.0,,2.0,4.0,196.0,1423.0
Winter,Rented Room,Generator Backup,Medium,Urban,5.0,5.7,2.4,5.0,1.0,3.0,8.3,266.0,1887.0
Winter,Kothi,Society,Low,Urban,7.0,4.9,1.1,5.0,1.0,1.0,9.0,254.0,1820.0
Spring,,Private,High,Urban,1.0,2.5,0.9,2.0,2.0,3.0,4.8,140.0,1038.0
Winter,PG,Generator Backup,Low,Urban,1.0,2.2,5.0,2.0,2.0,3.0,10.9,255.0,1840.0
Rainy,Kothi,Society,Medium,SemiUrban,1.0,4.8,0.3,3.0,1.0,4.0,4.8,160.0,1108.0
Spring,Apartment,Private,Medium,SemiUrban,6.0,6.9,2.5,5.0,2.0,,5.8,246.0,1775.0
Rainy,Independent,,Medium,Rural,5.0,7.6,1.0,2.0,1.0,1.0,8.6,304.0,2054.0
Spring,Apartment,Private,Low,Urban,5.0,0.8,5.3,0.0,2.0,,8.7,177.0,1224.0
Winter,Apartment,PSPCL,Low,Rural,5.0,1.2,3.3,4.0,1.0,6.0,9.3,190.0,1294.0
Rainy,Apartment,Society,Medium,SemiUrban,,7.6,1.4,0.0,2.0,4.0,4.0,151.0,1136.0
Spring,Rented Room,Generator Backup,,Urban,5.0,5.9,3.0,,2.0,3.0,,305.0,2176.0
Summer,PG,Generator Backup,Low,Urban,3.0,7.1,4.4,5.0,1.0,3.0,7.8,295.0,2022.0
Winter,Apartment,Society,Medium,SemiUrban,1.0,1.6,5.7,3.0,1.0,2.0,7.2,217.0,1606.0
Spring,PG,Generator Backup,Low,SemiUrban,1.0,4.7,1.3,2.0,1.0,2.0,11.8,258.0,1728.0
Summer,Kothi,Generator Backup,High,SemiUrban,6.0,5.6,5.3,2.0,1.0,6.0,,305.0,2178.0
Spring,Independent,PSPCL,High,SemiUrban,7.0,5.4,5.6,2.0,1.0,4.0,4.1,232.0,1692.0
,Kothi,Society,High,SemiUrban,1.0,3.3,5.5,5.0,2.0,,9.8,289.0,2038.0
Winter,Kothi,Private,High,Urban,7.0,0.1,3.8,4.0,1.0,2.0,3.9,191.0,1328.0
Rainy,Rented Room,PSPCL,Medium,,7.0,4.7,3.8,2.0,1.0,,3.2,218.0,1597.0
Summer,Independent,,Medium,Urban,6.0,2.0,2.4,0.0,1.0,1.0,6.6,154.0,1152.0
Spring,Kothi,PSPCL,Medium,Urban,2.0,3.6,4.5,2.0,1.0,2.0,11.9,283.0,1984.0
Winter,Kothi,Private,High,SemiUrban,2.0,7.7,3.2,,1.0,2.0,4.6,245.0,1734.0
Summer,Independent,Private,High,SemiUrban,4.0,3.2,4.1,3.0,2.0,4.0,9.1,220.0,1550.0
Spring,Independent,Society,Low,Urban,6.0,6.7,2.6,0.0,1.0,6.0,4.6,194.0,1334.0
Spring,,Private,Low,SemiUrban,,1.5,4.4,2.0,1.0,5.0,,209.0,1476.0
Spring,Independent,PSPCL,High,SemiUrban,4.0,5.4,4.9,2.0,1.0,2.0,7.5,258.0,1854.0
Summer,Kothi,Private,High,SemiUrban,2.0,7.8,,1.0,,2.0,9.1,294.0,2053.0
Summer,Kothi,PSPCL,High,Rural,6.0,0.8,5.0,4.0,2.0,4.0,4.8,164.0,1159.0
Summer,Rented Room,PSPCL,High,,2.0,0.1,3.2,0.0,1.0,4.0,9.7,186.0,1391.0
Rainy,Apartment,Private,Low,Rural,4.0,3.5,5.1,1.0,1.0,6.0,12.0,269.0,1852.0
Summer,Kothi,Society,High,SemiUrban,6.0,0.7,2.6,3.0,2.0,5.0,9.0,158.0,1105.0
Summer,PG,,Low,Rural,4.0,,2.3,4.0,2.0,1.0,7.4,244.0,1672.0
Summer,Apartment,Private,,SemiUrban,5.0,7.3,5.5,0.0,2.0,6.0,11.3,349.0,2432.0
Rainy,Apartment,PSPCL,High,,7.0,3.5,1.5,2.0,1.0,1.0,3.1,163.0,1112.0
Summer,Apartment,PSPCL,High,SemiUrban,6.0,2.1,5.1,0.0,1.0,3.0,9.6,236.0,1705.0
Spring,,Private,Low,Rural,6.0,3.5,2.9,2.0,2.0,2.0,11.0,286.0,1951.0
Summer,Kothi,Society,Low,Rural,7.0,5.8,3.1,4.0,1.0,5.0,3.6,207.0,
Spring,Rented Room,Society,Medium,Rural,4.0,0.1,1.9,2.0,2.0,6.0,7.1,121.0,960.0
Spring,Kothi,PSPCL,High,Urban,5.0,4.7,3.4,3.0,2.0,2.0,4.8,166.0,1177.0
Spring,Rented Room,PSPCL,Medium,Rural,3.0,4.9,2.0,5.0,2.0,5.0,,263.0,1880.0
Rainy,Rented Room,Society,Medium,Urban,7.0,5.1,0.2,2.0,1.0,5.0,8.8,246.0,1721.0
Rainy,PG,Generator Backup,Low,SemiUrban,2.0,1.9,1.6,,2.0,,5.7,161.0,1136.0
Rainy,Rented Room,Private,Low,Rural,4.0,5.7,0.0,5.0,2.0,,7.1,207.0,1500.0
Summer,Independent,PSPCL,Medium,SemiUrban,7.0,0.7,5.9,4.0,1.0,6.0,5.5,170.0,1231.0
Spring,PG,PSPCL,High,SemiUrban,7.0,1.6,5.8,4.0,2.0,4.0,6.3,198.0,1463.0
Rainy,Rented Room,Society,Low,Rural,6.0,,2.4,0.0,1.0,,4.4,193.0,1394.0
,Apartment,Private,High,Urban,2.0,5.9,4.4,,2.0,5.0,11.0,330.0,2202.0
Summer,Independent,Society,High,Rural,2.0,0.1,2.1,3.0,1.0,6.0,3.1,114.0,822.0
Rainy,Independent,Private,Medium,SemiUrban,2.0,2.0,,1.0,2.0,3.0,10.9,210.0,1478.0
Summer,Independent,Private,Medium,SemiUrban,7.0,1.7,4.8,1.0,2.0,1.0,,220.0,1617.0
Winter,PG,Private,Medium,Rural,3.0,2.2,5.7,5.0,2.0,5.0,6.0,203.0,1382.0
Rainy,Rented Room,,Medium,Urban,1.0,2.0,2.4,5.0,2.0,3.0,9.5,220.0,
Winter,,Generator Backup,Low,Urban,4.0,0.5,4.7,1.0,2.0,4.0,7.6,,1092.0
Summer,Apartment,Society,Low,,1.0,3.7,1.6,5.0,1.0,5.0,7.5,222.0,1500.0
Spring,Apartment,Generator Backup,,SemiUrban,7.0,5.9,5.9,2.0,1.0,3.0,4.0,230.0,1573.0
Rainy,,Society,Low,Urban,1.0,4.9,0.2,1.0,2.0,5.0,6.5,183.0,1334.0
Summer,Apartment,Private,Medium,Rural,7.0,5.4,3.6,3.0,2.0,2.0,5.2,230.0,1585.0
Spring,PG,PSPCL,High,SemiUrban,1.0,0.6,4.0,,2.0,6.0,3.1,91.0,790.0
Spring,Rented Room,Generator Backup,High,Urban,2.0,7.6,4.1,5.0,1.0,3.0,6.2,312.0,2088.0
Winter,Independent,PSPCL,High,SemiUrban,5.0,6.7,0.7,4.0,1.0,6.0,3.8,214.0,1442.0
Summer,Apartment,Society,Medium,Rural,2.0,6.4,5.6,0.0,2.0,2.0,5.3,219.0,1604.0
Spring,PG,PSPCL,High,Urban,2.0,6.6,1.1,1.0,1.0,2.0,3.8,189.0,1358.0
Rainy,PG,PSPCL,Low,SemiUrban,6.0,7.5,,4.0,2.0,6.0,3.9,232.0,1644.0
Rainy,Apartment,Generator Backup,High,Rural,6.0,4.4,1.3,5.0,2.0,3.0,4.8,229.0,1644.0
Winter,Rented Room,,High,SemiUrban,,1.6,1.8,3.0,2.0,6.0,12.0,212.0,1566.0
Spring,Apartment,PSPCL,High,,7.0,4.9,3.3,0.0,1.0,6.0,3.0,,1301.0
Summer,Independent,Private,Low,Rural,2.0,5.9,2.5,4.0,2.0,1.0,8.7,229.0,1560.0
Rainy,Apartment,Society,Medium,Urban,1.0,5.9,1.0,0.0,2.0,3.0,4.3,147.0,1052.0
Spring,PG,PSPCL,Low,Rural,6.0,4.2,1.0,1.0,2.0,1.0,11.3,247.0,1674.0
Spring,Apartment,Generator Backup,Medium,SemiUrban,5.0,0.5,,5.0,1.0,5.0,3.8,164.0,1117.0
,Rented Room,Society,Medium,Rural,4.0,3.0,4.5,3.0,1.0,6.0,11.6,287.0,2002.0
Rainy,Kothi,Society,High,Rural,1.0,7.4,5.4,5.0,1.0,5.0,8.5,304.0,2056.0
Rainy,Apartment,Generator Backup,Medium,Urban,5.0,4.7,0.5,0.0,2.0,3.0,3.0,143.0,1108.0
Summer,Rented Room,PSPCL,Low,Rural,4.0,4.3,2.4,4.0,1.0,6.0,11.0,298.0,2064.0
Rainy,Rented Room,PSPCL,Low,Rural,3.0,2.2,0.6,1.0,2.0,5.0,7.7,150.0,1028.0
Summer,PG,Society,Medium,SemiUrban,1.0,2.9,0.1,,1.0,4.0,5.4,116.0,944.0
Rainy,Rented Room,PSPCL,High,Urban,1.0,7.2,4.0,5.0,2.0,2.0,9.9,,1958.0
Winter,Rented Room,Private,,Urban,3.0,5.3,3.6,,1.0,6.0,11.3,293.0,2088.0
Rainy,,Generator Backup,Low,Urban,3.0,6.3,1.0,4.0,2.0,2.0,7.4,618.0,2838.0
,Rented Room,Private,High,Rural,1.0,3.6,1.4,0.0,1.0,1.0,,140.0,
Summer,Independent,PSPCL,Medium,Urban,3.0,5.0,0.1,5.0,1.0,5.0,10.1,272.0,1838.0
Winter,Independent,Society,Medium,Rural,2.0,2.0,5.0,5.0,1.0,1.0,9.1,197.0,1352.0
Rainy,PG,Generator Backup,Low,Rural,4.0,5.6,,2.0,2.0,6.0,11.0,335.0,2358.0
Rainy,Apartment,PSPCL,,SemiUrban,4.0,3.4,,,1.0,2.0,9.2,223.0,1646.0
Winter,Rented Room,PSPCL,Low,SemiUrban,4.0,3.5,1.4,1.0,1.0,2.0,5.2,156.0,1092.0
Rainy,Apartment,Society,Medium,SemiUrban,2.0,5.2,5.2,0.0,,5.0,11.4,267.0,1890.0
Rainy,Apartment,Society,Low,SemiUrban,7.0,7.5,5.6,4.0,1.0,6.0,3.9,248.0,1713.0
Summer,PG,Private,High,SemiUrban,3.0,0.5,2.5,5.0,2.0,4.0,5.4,137.0,1054.0
Rainy,Rented Room,Generator Backup,Medium,Rural,5.0,6.6,0.3,0.0,1.0,4.0,7.7,261.0,1846.0
,Rented Room,Generator Backup,,Rural,3.0,2.3,0.2,5.0,2.0,5.0,8.1,167.0,
Winter,Kothi,Society,Low,Urban,1.0,3.6,3.4,4.0,2.0,6.0,3.1,,955.0
Winter,Apartment,Private,Low,Rural,6.0,0.2,2.4,3.0,2.0,5.0,10.0,204.0,1500.0
Spring,Apartment,Generator Backup,Medium,Rural,4.0,2.4,0.2,4.0,2.0,6.0,6.3,164.0,1186.0
Summer,Independent,Society,Low,SemiUrban,3.0,4.0,3.5,4.0,1.0,1.0,6.7,216.0,1523.0
Rainy,Kothi,PSPCL,Medium,Rural,5.0,0.4,0.1,4.0,2.0,5.0,10.3,,1410.0
Rainy,Independent,Generator Backup,High,SemiUrban,1.0,3.9,4.7,,2.0,6.0,6.4,240.0,1717.0
Spring,Independent,Private,Low,Urban,2.0,7.4,1.8,2.0,2.0,4.0,3.4,184.0,1266.0
Rainy,Independent,,Medium,Urban,7.0,0.8,0.2,4.0,2.0,6.0,4.6,140.0,1090.0
Summer,PG,Private,High,Rural,2.0,6.1,3.5,1.0,1.0,6.0,11.6,,2107.0
,PG,PSPCL,High,Urban,5.0,3.3,2.4,1.0,1.0,5.0,3.6,130.0,982.0
Summer,Independent,Generator Backup,Medium,Rural,,5.2,5.8,0.0,2.0,1.0,6.2,169.0,1258.0
Spring,Kothi,Generator Backup,Low,Urban,4.0,2.1,3.3,2.0,2.0,1.0,,204.0,1385.0
Spring,Apartment,PSPCL,Medium,SemiUrban,3.0,,1.7,0.0,2.0,1.0,7.4,190.0,1296.0
Winter,Kothi,Generator Backup,High,SemiUrban,1.0,1.3,,1.0,1.0,1.0,3.0,111.0,778.0
Summer,Rented Room,PSPCL,Medium,SemiUrban,7.0,0.6,1.6,1.0,1.0,3.0,7.5,162.0,1247.0
Rainy,PG,PSPCL,Low,SemiUrban,2.0,1.5,5.4,3.0,1.0,5.0,6.5,183.0,1352.0
Rainy,Apartment,PSPCL,High,Rural,7.0,5.3,2.2,4.0,1.0,2.0,11.7,341.0,2292.0
Summer,Apartment,,Medium,Urban,7.0,7.1,3.3,1.0,1.0,5.0,4.4,,1585.0
Rainy,Rented Room,Generator Backup,Low,Rural,5.0,6.5,0.3,5.0,2.0,3.0,6.2,236.0,1616.0
Rainy,Rented Room,PSPCL,High,SemiUrban,5.0,5.5,2.6,5.0,1.0,1.0,6.8,273.0,1886.0
Summer,Independent,Generator Backup,Low,,3.0,0.9,5.0,0.0,1.0,3.0,6.5,147.0,1052.0
Spring,PG,Private,High,Urban,5.0,2.3,4.8,0.0,2.0,4.0,9.0,190.0,1379.0
Summer,PG,PSPCL,Medium,Rural,5.0,2.5,1.3,4.0,1.0,4.0,4.9,184.0,1280.0
Spring,Kothi,Society,Low,Urban,1.0,2.0,1.4,4.0,1.0,5.0,5.0,129.0,964.0
Rainy,Independent,Private,High,Rural,4.0,4.1,4.9,3.0,1.0,5.0,9.6,250.0,1797.0
Rainy,Independent,Society,Low,Urban,3.0,4.3,5.6,2.0,2.0,2.0,7.5,284.0,1978.0
Rainy,Independent,Generator Backup,Low,Urban,1.0,2.9,,0.0,1.0,2.0,6.7,131.0,926.0
Winter,,Generator Backup,Medium,SemiUrban,4.0,2.8,2.7,4.0,2.0,4.0,4.5,185.0,1308.0
Spring,,Private,Low,Urban,7.0,6.6,2.0,,2.0,1.0,4.7,211.0,1452.0
Winter,PG,Generator Backup,High,SemiUrban,1.0,6.3,5.2,4.0,1.0,3.0,3.1,203.0,1432.0
Winter,Independent,Society,High,SemiUrban,6.0,2.5,0.5,1.0,1.0,2.0,3.8,140.0,971.0
Summer,,PSPCL,High,SemiUrban,1.0,7.3,1.3,0.0,1.0,6.0,8.0,230.0,1607.0
Winter,Apartment,PSPCL,High,Rural,5.0,,4.5,1.0,1.0,2.0,11.0,311.0,2148.0
Summer,Apartment,PSPCL,Medium,Rural,4.0,,,0.0,2.0,1.0,5.6,138.0,1038.0
Summer,Kothi,Private,Low,Rural,3.0,2.8,3.0,2.0,1.0,1.0,5.9,164.0,1116.0
Winter,Independent,Generator Backup,Medium,Rural,3.0,4.0,2.7,3.0,2.0,5.0,4.0,152.0,1107.0
Spring,PG,,Low,Urban,4.0,7.5,2.0,5.0,2.0,3.0,6.5,246.0,1784.0
Spring,Apartment,Generator Backup,Low,Urban,5.0,7.0,2.4,,2.0,1.0,3.3,239.0,1736.0
Spring,Rented Room,Generator Backup,Low,Rural,2.0,0.8,3.2,5.0,2.0,2.0,11.3,222.0,1578.0
Spring,Rented Room,Generator Backup,,Urban,1.0,3.1,1.0,1.0,2.0,2.0,9.1,209.0,1446.0
Spring,Kothi,PSPCL,Low,Urban,5.0,4.4,3.4,4.0,1.0,4.0,11.9,299.0,2016.0
Winter,Independent,Society,Medium,SemiUrban,6.0,4.0,4.8,5.0,2.0,1.0,10.9,293.0,2022.0
Winter,Apartment,Society,High,SemiUrban,7.0,,4.6,2.0,2.0,6.0,,212.0,1431.0
Rainy,Independent,Generator Backup,High,SemiUrban,4.0,6.9,0.9,5.0,1.0,5.0,7.7,239.0,1728.0
Spring,Apartment,PSPCL,Low,SemiUrban,,5.4,0.9,0.0,1.0,3.0,4.7,150.0,1045.0
Winter,Kothi,PSPCL,Medium,Urban,3.0,6.7,1.6,1.0,2.0,6.0,7.2,232.0,1662.0
Rainy,Kothi,Society,High,Rural,7.0,6.9,2.2,0.0,2.0,5.0,11.1,298.0,2052.0
Spring,Rented Room,PSPCL,Medium,Urban,2.0,6.0,2.5,0.0,1.0,2.0,3.5,193.0,1310.0
